,,,,,,,,,
,410,方向,fāngxiàng,direction,602,2322886,"0,027301%",4,2
,411,放下,fàng xià,put down; lay down; drop,2202,676232,"0,007948%", ,2
,412,放心,fàngxīn,Don’t worry,1748,859793,"0,010105%",3,2
,413,分开,fēn kāi,separate; part,3212,444893,"0,005229%", ,2
,414,分数,fēn shù,score; mark; fraction,4799,273261,"0,003212%", ,2
,415,分钟,fēnzhōng,Minute,323,3812320,"0,044806%",1,2
,416,服务,fú wù,service,99,7624405,"0,089609%", ,2
,417,复习,fùxí,Review,3653,379849,"0,004464%",3,2
,418,改变,gǎibiàn,change,353,3580003,"0,042075%",4,2
,419,干杯,gānbēi,Cheers!,21852,34801,"0,000409%",4,2
,420,感到,gǎn dào,feel; sense,593,2344672,"0,027557%", ,2
,421,感动,gǎndòng,Be moved,1063,1448124,"0,017020%",4,2
,422,感觉,gǎnjué,feel,163,5647041,"0,066369%",4,2
,423,感谢,gǎnxiè,Thank,645,2204787,"0,025913%",4,2
,424,干活儿,gànhuór,work on a job,49736,8067,"0,000095%",5,2
,425,刚才,gāngcái,just,1090,1415226,"0,016633%",3,2
,426,刚刚,gāng gāng,just; only; just a moment ago,516,2643675,"0,031071%", ,2
,427,高级,gāojí,senior,1162,1320207,"0,015516%",5,2
,428,高中,gāo zhōng,senior high school,1729,867281,"0,010193%", ,2
,429,个子,gèzi,Height,11479,88665,"0,001042%",3,2
,430,公共汽车,gōnggòngqìchē,Bus,10652,98146,"0,001154%",2,2
,431,公交车,gōng jiāo chē,bus,—,—,—, ,2
,432,公斤,gōngjīn,Kg.,1542,975830,"0,011469%",3,2
,433,公里,gōnglǐ,kilometre,759,1948202,"0,022897%",4,2
,434,公路,gōng lù,highway; highroad,1424,1057237,"0,012426%", ,2
,435,公平,gōngpíng,fair,2070,725842,"0,008531%",5,2
,436,公司,gōngsī,company,13,18463472,"0,216999%",2,2
,437,公园,gōngyuán,Park,1906,796013,"0,009355%",3,2
,438,故事,gùshi,Story,598,2328736,"0,027369%",3,2
,439,故意,gùyì,deliberately,2160,688681,"0,008094%",4,2
,440,顾客,gùkè,customer,1905,796149,"0,009357%",4,2
,441,关机,guān jī,shutdown,7810,147873,"0,001738%", ,2
,442,关心,guānxīn,Care for,978,1579851,"0,018568%",3,2
,443,观点,guāndiǎn,viewpoint,1215,1258069,"0,014786%",5,2
,444,广场,guǎngchǎng,square,1609,935591,"0,010996%",5,2
,445,广告,guǎnggào,Advertisement,586,2374480,"0,027907%",4,2
,446,国际,guójì,international,79,8397493,"0,098695%",4,2
,447,过来,guò lái,come; come over,675,2150245,"0,025272%", ,2
,448,过年,guò nián,celebrate the New Year,1640,919755,"0,010810%", ,2
,449,过去,guò qù,go over; pass by,213,4956320,"0,058251%",3,2
,450,海边,hǎi biān,seaside,7561,153967,"0,001810%", ,2
,451,好处,hǎochu,benefit,2294,646363,"0,007597%",4,2
,452,好多,hǎo duō,many; a lot of,1053,1458322,"0,017140%", ,2
,453,好久,hǎo jiǔ,for a long time; long,2194,679053,"0,007981%", ,2
,454,好人,hǎo rén,good person,3552,394670,"0,004639%", ,2
,455,好事,hǎo shì,good deed; good thing,2589,563040,"0,006617%", ,2
,456,好像,hǎoxiàng,Be like,686,2129764,"0,025031%",4,2
,457,合适,héshì,appropriate,1926,787446,"0,009255%",4,2
,458,黑板,hēibǎn,blackboard,13847,68372,"0,000804%",3,2
,459,黑色,hēi sè,black,1482,1014295,"0,011921%", ,2
,460,红色,hóng sè,red,1607,936963,"0,011012%", ,2
,461,后来,hòulái,later,585,2379750,"0,027969%",3,2
,462,忽然,hūrán,suddenly,1565,962466,"0,011312%",5,2
,463,护照,hùzhào,passport,8050,142217,"0,001671%",3,2
,464,花园,huā yuán,garden,2508,579967,"0,006816%", ,2
,465,画家,huà jiā,painter; artist,6329,192187,"0,002259%", ,2
,466,画儿,huàr,painting; drawing,62112,5024,"0,000059%", ,2
,467,坏处,huài chù,disadvantage; harm,23314,31520,"0,000370%", ,2
,468,坏人,huài rén,bad person,6519,185884,"0,002185%", ,2
,469,欢迎,huānyíng,Welcome,705,2065915,"0,024281%",3,2
,470,黄色,huáng sè,yellow,3571,391205,"0,004598%", ,2
,471,回国,huí guó,return home from abroad,3831,359248,"0,004222%", ,2
,472,活动,huódòng,activity,32,12157387,"0,142885%",4,2
,473,或者,huòzhě,perhaps,251,4486147,"0,052725%",3,2
,474,机会,jīhuì,Opportunity,235,4613507,"0,054222%",3,2
,475,计划,jìhuà,plan,208,5045972,"0,059305%",4,2
,476,计算机,jì suàn jī,computer,1767,854318,"0,010041%", ,2
,477,加油,jiā yóu,oil; refuel; make an all-out effort,884,1731119,"0,020346%", ,2
,478,家庭,jiātíng,Family,420,3047727,"0,035820%",5,2
,479,家长,jiā zhǎng,parent; the head of the family,1195,1278162,"0,015022%", ,2
,480,假期,jià qī,holiday; vacation,3840,358031,"0,004208%", ,2
,481,检查,jiǎnchá,inspect; check,359,3513612,"0,041295%",3,2
,482,见到,jiàn dào,see,—,—,—, ,2
,483,见过,jiàn guò,seen; have seen,—,—,—, ,2
,484,健康,jiànkāng,Healthy,311,3887813,"0,045693%",3,2
,485,讲话,jiǎng huà,speak; talk,1414,1065896,"0,012527%", ,2
,486,交给,jiāo gěi,hand over,—,—,—, ,2
,487,交朋友,jiāo péng yǒu,make friends,16512,53180,"0,000625%", ,2
,488,交通,jiāotōng,traffic,497,2733925,"0,032132%",4,2
,489,角度,jiǎodù,angle,1101,1398477,"0,016436%",5,2
,490,饺子,jiǎozi,Dumplings,5240,244324,"0,002872%",4,2
,491,叫作,jiào zuò,be called; be known as,19890,40246,"0,000473%", ,2
,492,教师,jiào shī,teacher,723,2033953,"0,023905%", ,2
,493,教室,jiàoshì,Classroom,3589,388532,"0,004566%",2,2
,494,教学,jiào xué,teach,621,2258194,"0,026540%", ,2
,495,教育,jiàoyù,education,106,7453071,"0,087595%",4,2
,496,接到,jiē dào,receive,—,—,—, ,2
,497,接受,jiēshòu,accept,237,4588777,"0,053931%",4,2
,498,接下来,jiē xià lái,next,2273,652084,"0,007664%", ,2
,499,接着,jiēzhe,Next,—,—,—,4,2
,500,节目,jiémù,program,830,1815858,"0,021342%",3,2
,501,节日,jiérì,festival,2128,700342,"0,008231%",3,2
,502,结果,jiéguǒ,Result,104,7472633,"0,087825%",4,2
,503,今后,jīn hòu,from now on; in the future,906,1678339,"0,019725%", ,2
,504,进入,jìn rù,enter; go in; join,144,6077234,"0,071425%", ,2
,505,进行,jìnxíng,Conduct,11,19659691,"0,231058%",4,2
,506,经常,jīngcháng,Often,545,2517369,"0,029586%",3,2
,507,经过,jīngguò,"after, through",229,4663309,"0,054807%",3,2
,508,经理,jīnglǐ,manager,1325,1142261,"0,013425%",3,2
,509,酒店,jiǔ diàn,hotel,1236,1231322,"0,014472%", ,2
,510,就要,jiù yào,be going to; be about to,647,2201058,"0,025869%", ,2
,511,举手,jǔ shǒu,raise one’s hand or hands,5538,225694,"0,002653%", ,2
,512,举行,jǔxíng,hold,302,3977472,"0,046747%",4,2
,513,句子,jùzi,sentence,7940,145070,"0,001705%",3,2
,514,开机,kāi jī,starting up,—,—,—, ,2
,515,开心,kāixīn,Happy,431,3008908,"0,035363%",4,2
,516,开学,kāi xué,school opens; term begins,6177,197731,"0,002324%", ,2
,517,看法,kànfǎ,view,1977,763018,"0,008968%",4,2
,518,考生,kǎo shēng,examinee,1389,1087716,"0,012784%", ,2
,519,科学,kēxué,science,402,3176962,"0,037339%",4,2
,520,可爱,kě’ài,Lovely,573,2416266,"0,028398%",3,2
,521,可能,kěnéng,Probably,40,10924987,"0,128400%",2,2
,522,可怕,kěpà,dreadful,1979,761669,"0,008952%",5,2
,523,可是,kěshì,however,259,4439141,"0,052173%",4,2
,524,可以,kěyǐ,Sure,5,25881411,"0,304182%",2,2
,525,客人,kèrén,Guest,2698,539526,"0,006341%",3,2
,526,课堂,kè táng,classroom,3755,368265,"0,004328%", ,2
,527,空气,kōngqì,atmosphere,1390,1087704,"0,012784%",4,2
,528,快餐,kuài cān,fast food,9967,107340,"0,001262%", ,2
,529,快点儿,kuài diǎnr,hurry up,—,—,—, ,2
,530,快乐,kuàilè,happy,368,3444915,"0,040488%",2,2
,531,快要,kuài yào,be about to; be going to,5298,240091,"0,002822%", ,2
,532,筷子,kuàizi,chopsticks,6436,188643,"0,002217%",3,2
,533,来自,láizì,Come from,303,3956625,"0,046502%",4,2
,534,蓝色,lán sè,blue,2526,577150,"0,006783%", ,2
,535,篮球,lán qiú,basketball,2770,524399,"0,006163%", ,2
,536,老年,lǎo nián,elderly,3754,368370,"0,004329%", ,2
,537,老朋友,lǎo péng yǒu,old friend,9542,113699,"0,001336%", ,2
,538,老是,lǎo shì,always; all times,4642,284307,"0,003341%", ,2
,539,离开,líkāi,leave,515,2646109,"0,031099%",3,2
,540,礼物,lǐwù,gift,1641,918862,"0,010799%",3,2
,541,里头,lǐ tou,inside,9839,109117,"0,001282%", ,2
,542,理想,lǐxiǎng,ideal,1134,1355294,"0,015929%",4,2
,543,例如,lìrú,for example,1611,933671,"0,010973%",4,2
,544,例子,lì zi,example,3743,369678,"0,004345%", ,2
,545,练习,liànxí,Practice,3043,471669,"0,005543%",3,2
,546,凉快,liángkuai,Pleasantly cool,23285,31592,"0,000371%",4,2
,547,零下,líng xià,below zero,10201,104064,"0,001223%", ,2
,548,留下,liú xià,stay; remain,1056,1453169,"0,017079%", ,2
,549,留学生,liú xué shēng,student studying abroad; returned student,6579,183665,"0,002159%", ,2
,550,流利,liúlì,fluent,14061,66916,"0,000786%",4,2
,551,流行,liúxíng,Popular,1533,980350,"0,011522%",4,2
,552,路边,lù biān,roadside; wayside,4771,275338,"0,003236%", ,2
,553,旅客,lǚ kè,passenger; traveler,2022,746442,"0,008773%", ,2
,554,旅行,lǚxíng,travel,2223,669761,"0,007872%",4,2
,555,旅游,lǚyóu,Tourism,465,2852386,"0,033524%",2,2
,556,绿色,lǜ sè,green,1329,1140840,"0,013408%", ,2
,557,满意,mǎnyì,Satisfied,1048,1462080,"0,017184%",3,2
,558,面前,miàn qián,in front of; before,—,—,—, ,2
,559,名称,míng chēng,name; designation,2354,627694,"0,007377%", ,2
,560,名单,míng dān,list,1894,801355,"0,009418%", ,2
,561,明星,míngxīng,Star,1054,1457635,"0,017131%",5,2
,562,目的,mùdì,objective,587,2369260,"0,027846%",4,2
,563,拿出,ná chū,take out,1915,792979,"0,009320%", ,2
,564,拿到,ná dào,get,1573,956549,"0,011242%", ,2
,565,那会儿,nà huìr,at that time; then,19692,40852,"0,000480%", ,2
,566,那么,nà me,like that; in that way,83,8243125,"0,096881%", ,2
,567,那时候,nà shí hou,at that time,—,—,—, ,2
,568,那样,nà yàng,that kind; like that; such,768,1939848,"0,022799%", ,2
,569,南方,nán fāng,south,2237,665153,"0,007817%", ,2
,570,难过,nánguò,Sorry,2456,591575,"0,006953%",3,2
,571,难看,nán kàn,ugly,7747,149557,"0,001758%", ,2
,572,难受,nánshòu,Uncomfortable,2434,598628,"0,007036%",4,2
,573,难题,nán tí,problem; difficult problem; puzzle,3100,464709,"0,005462%", ,2
,574,难听,nán tīng,unpleasant to hear,12866,75678,"0,000889%", ,2
,575,能够,néng gòu,be able to; can,169,5559134,"0,065336%", ,2
,576,年级,niánjí,grade,10422,101106,"0,001188%",3,2
,577,年轻,niánqīng,Young,835,1805946,"0,021225%",3,2
,578,努力,nǔlì,Strive,239,4574518,"0,053764%",3,2
,579,爬山,páshān,Mountain climbing,14161,66238,"0,000778%",3,2
,580,排队,páiduì,queue; stand in a line,2771,524155,"0,006160%",4,2
,581,排球,pái qiú,volleyball,9090,120756,"0,001419%", ,2
,582,碰到,pèng dào,meet; run into; bump into,2665,546809,"0,006427%", ,2
,583,碰见,pèng jiàn,meet; run into; bump into,15648,57470,"0,000675%", ,2
,584,便宜,piányi,Cheap,1868,812874,"0,009554%",2,2
,585,漂亮,piàoliang,Well done!； beautiful,920,1660274,"0,019513%",1,2
,586,平安,píng’ān,sound and safe,1446,1041504,"0,012241%",5,2
,587,平常,píngcháng,Usual,3538,396526,"0,004660%",5,2
,588,平等,píngděng,equality,2678,542908,"0,006381%",5,2
,589,平时,píngshí,peacetime,1403,1078914,"0,012680%",4,2
,590,瓶子,píngzi,Bottle,7010,169559,"0,001993%",3,2
,591,普通,pǔ tōng,ordinary; general; average; common,706,2061735,"0,024231%", ,2
,592,普通话,pǔtōnghuà,Mandarin,6046,202590,"0,002381%",4,2
,593,其他,qítā,Other,114,7091107,"0,083341%",3,2
,594,其中,qízhōng,among,98,7646781,"0,089872%",4,2
,595,骑车,qí chē,cycle,—,—,—, ,2
,596,起飞,qǐfēi,take off,5472,229020,"0,002692%",3,2
,597,气温,qì wēn,air temperature,2069,725988,"0,008532%", ,2
,598,千克,qiān kè,kilogram,10805,96564,"0,001135%", ,2
,599,前年,qián nián,the year before last,8915,123772,"0,001455%", ,2
,600,青年,qīng nián,youth; young,703,2068527,"0,024311%", ,2
,601,青少年,qīngshàonián,Teenagers,2255,656214,"0,007712%",5,2
,602,清楚,qīngchu,clear,690,2109154,"0,024789%",3,2
,603,晴天,qíng tiān,sunny day,9696,111373,"0,001309%", ,2
,604,请客,qǐng kè,stand treat; entertain,10388,101412,"0,001192%", ,2
,605,请求,qǐngqiú,request,2680,542070,"0,006371%",5,2
,606,秋天,qiū tiān,fall; autumn,5535,225939,"0,002655%", ,2
,607,球场,qiú chǎng,court; field,2889,499310,"0,005868%", ,2
,608,球队,qiú duì,team,834,1807727,"0,021246%", ,2
,609,球鞋,qiú xié,sneakers; gym shoes,19043,42945,"0,000505%", ,2
,610,取得,qǔ dé,acquire; gain; obtain,334,3749367,"0,044066%", ,2
,611,全部,quánbù,whole,305,3939595,"0,046302%",4,2
,612,全国,quán guó,nationwide; entire country,131,6692428,"0,078655%", ,2
,613,全家,quán jiā,whole family,3351,424785,"0,004992%", ,2
,614,全年,quán nián,annual; yearly,2399,610523,"0,007175%", ,2
,615,全身,quán shēn,whole body,2030,744456,"0,008750%", ,2
,616,全体,quán tǐ,all; entire; whole,1435,1051733,"0,012361%", ,2
,617,然后,ránhòu,Then,193,5260934,"0,061831%",3,2
,618,热情,rèqíng,Enthusiasm,1245,1226425,"0,014414%",3,2
,619,人口,rénkǒu,population,1109,1387881,"0,016312%",5,2
,620,人们,rén men,people,267,4352946,"0,051160%", ,2
,621,人数,rén shù,number of people,1193,1279699,"0,015040%", ,2
,622,认为,rènwéi,think,49,10290693,"0,120946%",3,2
,623,日报,rì bào,"daily, journal",7705,150550,"0,001769%", ,2
,624,日子,rìzi,"life, days",873,1743121,"0,020487%",5,2
,625,如果,rúguǒ,If,25,14358816,"0,168758%",3,2
,626,入口,rùkǒu,Entrance,5785,213581,"0,002510%",4,2
,627,商量,shāngliang,discuss,3908,350032,"0,004114%",4,2
,628,商人,shāng rén,businessman,3948,346451,"0,004072%", ,2
,629,上周,shàng zhōu,last week,1914,793068,"0,009321%", ,2
,630,少数,shǎo shù,small number; few; minority,2486,585980,"0,006887%", ,2
,631,少年,shào nián,juvenile; young person,1651,911896,"0,010717%", ,2
,632,身边,shēn biān,at [by] one’s side,653,2192839,"0,025772%", ,2
,633,什么样,shén me yàng,what kind,1844,825600,"0,009703%", ,2
,634,生词,shēng cí,new word,51078,7635,"0,000090%", ,2
,635,生活,shēnghuó,Life,48,10428809,"0,122569%",4,2
,636,声音,shēngyīn,voice,632,2237408,"0,026296%",3,2
,637,十分,shífēn,very,386,3322602,"0,039050%",4,2
,638,实际,shíjì,Actual,394,3224970,"0,037903%",4,2
,639,实习,shíxí,Internship,5054,255800,"0,003006%",5,2
,640,实现,shíxiàn,Realization,166,5613547,"0,065975%",5,2
,641,实在,shízài,real; indeeed,1099,1399447,"0,016448%",4,2
,642,食物,shíwù,food,1524,986884,"0,011599%",5,2
,643,使用,shǐyòng,Use,123,6848802,"0,080493%",4,2
,644,市长,shì zhǎng,mayor,2962,487791,"0,005733%", ,2
,645,事情,shìqing,Thing,183,5385352,"0,063294%",2,2
,646,收到,shōu dào,receive; obtain,1011,1511523,"0,017765%", ,2
,647,收入,shōurù,income,383,3344245,"0,039305%",4,2
,648,手表,shǒubiǎo,Wrist Watch,6113,200228,"0,002353%",2,2
,649,受到,shòudào,Suffer,373,3411560,"0,040096%",4,2
,650,舒服,shūfu,comfortable,2319,639777,"0,007519%",3,2
,651,数字,shùzì,number,921,1659807,"0,019508%",4,2
,652,水平,shuǐpíng,level,202,5128312,"0,060273%",3,2
,653,顺利,shùnlì,smoothly,946,1625804,"0,019108%",4,2
,654,说明,shuōmíng,Explain,521,2611367,"0,030691%",4,2
,655,司机,sījī,Driver,1169,1310305,"0,015400%",3,2
,656,送到,sòng dào,sent to (place),2164,686189,"0,008065%", ,2
,657,送给,sòng gěi,give to (somebody or organization),2023,746280,"0,008771%", ,2
,658,虽然,suī rán,although; though,101,7553479,"0,088775%",2,2
,659,随便,suíbiàn,casual,2172,684040,"0,008039%",4,2
,660,随时,suíshí,at any time,1781,847445,"0,009960%",5,2
,661,所以,suǒ yǐ,so,70,8908397,"0,104700%",2,2
,662,所有,suǒyǒu,All,147,5983705,"0,070326%",4,2
,663,它们,tā men,they,725,2024150,"0,023790%", ,2
,664,太太,tàitai,Ma’am,4945,263154,"0,003093%",5,2
,665,太阳,tàiyáng,sun,1360,1117336,"0,013132%",3,2
,666,态度,tàidu,attitude,760,1947459,"0,022888%",4,2
,667,讨论,tǎolùn,discuss,630,2245799,"0,026395%",4,2
,668,特别,tèbié,Especially,330,3775279,"0,044370%",3,2
,669,特点,tèdiǎn,Characteristic,656,2184989,"0,025680%",4,2
,670,提出,tí chū,put forward; propose; raise,195,5231822,"0,061489%", ,2
,671,提到,tí dào,mention; refer to,2211,673732,"0,007918%", ,2
,672,提高,tígāo,"increase, promote",95,7871020,"0,092507%",3,2
,673,体育,tǐyù,Sports,764,1944948,"0,022859%",3,2
,674,体育场,tǐ yù chǎng,stadium,8199,138554,"0,001628%", ,2
,675,体育馆,tǐ yù guǎn,stadium; gymnasium; gym,5990,204988,"0,002409%", ,2
,676,天上,tiān shàng,the sky; heaven,5205,246313,"0,002895%", ,2
,677,条件,tiáojiàn,condition,257,4445457,"0,052247%",4,2
,678,听讲,tīng jiǎng,attend a lecture; listen to a talk,23862,30300,"0,000356%", ,2
,679,听说,tīng shuō,be told; hear of,1349,1122251,"0,013190%", ,2
,680,停车,tíng chē,park,3217,443934,"0,005218%", ,2
,681,停车场,tíng chē chǎng,parking lot,5978,205438,"0,002414%", ,2
,682,挺好,tǐng hǎo,very good; not half bad,—,—,—, ,2
,683,通过,tōngguò,adopt,35,11389239,"0,133857%",4,2
,684,通知,tōngzhī,notice,864,1761280,"0,020700%",4,2
,685,同时,tóngshí,meanwhile,50,10226733,"0,120194%",4,2
,686,同事,tóngshì,Colleague,1794,843606,"0,009915%",3,2
,687,同样,tóng yàng,same,526,2585853,"0,030391%", ,2
,688,头发,tóufa,Hair,1438,1049625,"0,012336%",3,2
,689,图片,tú piàn,picture; photograph,952,1611809,"0,018943%", ,2
,690,外地,wài dì,other places; nonlocal,2312,643082,"0,007558%", ,2
,691,外卖,wài mài,takeaway; take out,12549,78191,"0,000919%", ,2
,692,完成,wánchéng,complete,171,5542752,"0,065143%",3,2
,693,完全,wánquán,completely,247,4517556,"0,053094%",4,2
,694,晚安,wǎn ān,good night,866,1756606,"0,020645%", ,2
,695,晚报,wǎn bào,evening paper; evening news,6548,184771,"0,002172%", ,2
,696,晚餐,wǎn cān,dinner; supper,4203,320000,"0,003761%", ,2
,697,晚会,wǎn huì,evening party,2620,556172,"0,006537%", ,2
,698,网球,wǎngqiú,Tennis,3890,351787,"0,004135%",4,2
,699,网站,wǎngzhàn,website,660,2173835,"0,025549%",4,2
,700,为什么,wèishénme,Why,261,4421303,"0,051963%",2,2
,701,味道,wèidào,taste,1423,1057809,"0,012432%",4,2
,702,温度,wēndù,temperature,1494,1007709,"0,011844%",4,2
,703,问路,wèn lù,ask for directions,—,—,—, ,2
,704,问题,wèntí,problem,15,18326876,"0,215394%",2,2
,705,午餐,wǔ cān,lunch,4804,273010,"0,003209%", ,2
,706,午睡,wǔ shuì,nap,12414,79514,"0,000935%", ,2
,707,西北,xī běi,northwest,4803,273039,"0,003209%", ,2
,708,西餐,xī cān,western food,17623,48340,"0,000568%", ,2
,709,西方,xī fāng,west,1508,997543,"0,011724%", ,2
,710,西南,xī nán,southwest,3749,368993,"0,004337%", ,2
,711,西医,xī yī,western medicine,13897,68055,"0,000800%", ,2
,712,习惯,xíguàn,Habit,717,2042182,"0,024002%",3,2
,713,洗衣机,xǐ yī jī,washing machine,8470,132749,"0,001560%", ,2
,714,洗澡,xǐzǎo,Take a shower,3042,471874,"0,005546%",3,2
,715,下雪,xià xuě,snow; snowing,4277,312988,"0,003679%", ,2
,716,下周,xià zhōu,next week,—,—,—, ,2
,717,夏天,xià tiān,summer,2318,640188,"0,007524%", ,2
,718,相同,xiāngtóng,identical,1315,1150418,"0,013521%",4,2
,719,相信,xiāngxìn,believe,378,3375201,"0,039668%",3,2
,720,想到,xiǎng dào,think of; call to mind; have at heart,458,2876807,"0,033811%", ,2
,721,想法,xiǎng fǎ,idea; opinion;thought,1364,1109295,"0,013037%", ,2
,722,想起,xiǎng qǐ,remember; recall; think of; call to mind,1070,1441864,"0,016946%", ,2
,723,相机,xiàng jī,camera,1941,778052,"0,009144%", ,2
,724,小声,xiǎo shēng,in a low voice; in whispers,8649,128714,"0,001513%", ,2
,725,小时候,xiǎo shí hou,in one’s childhood; when one was young,2544,572816,"0,006732%", ,2
,726,小说,xiǎoshuō,Novel,1773,851649,"0,010009%",4,2
